Epoch 143: start=-2.5529, end=2.3005, tau=6.6452
Epoch 144: start=-2.5527, end=2.3009, tau=6.6340
Epoch 145: start=-2.5529, end=2.3013, tau=6.6154
Epoch 146: start=-2.5521, end=2.3022, tau=6.5958
Epoch 147: start=-2.5514, end=2.3038, tau=6.5503
Epoch 148: start=-2.5516, end=2.3045, tau=6.5180
Epoch 149: start=-2.5518, end=2.3040, tau=6.5330
Epoch 150: start=-2.5514, end=2.3038, tau=6.5467
Epoch 151: start=-2.5509, end=2.3038, tau=6.5594
Epoch 152: start=-2.5502, end=2.3048, tau=6.5388
Epoch 153: start=-2.5495, end=2.3047, tau=6.5558
Epoch 154: start=-2.5488, end=2.3052, tau=6.5546
Epoch 155: start=-2.5480, end=2.3061, tau=6.5366
Epoch 156: start=-2.5479, end=2.3063, tau=6.5313
Epoch 157: start=-2.5484, end=2.3064, tau=6.5153
Epoch 158: start=-2.5488, end=2.3062, tau=6.5138
Epoch 159: start=-2.5491, end=2.3060, tau=6.5145
Epoch 160: start=-2.5495, end=2.3061, tau=6.5037
Epoch 161: start=-2.5486, end=2.3072, tau=6.4761
Epoch 162: start=-2.5481, end=2.3080, tau=6.4570
Epoch 163: start=-2.5478, end=2.3082, tau=6.4546
Epoch 164: start=-2.5484, end=2.3076, tau=6.4648
Epoch 165: start=-2.5487, end=2.3081, tau=6.4388
Epoch 166: start=-2.5485, end=2.3084, tau=6.4334
Epoch 167: start=-2.5479, end=2.3091, tau=6.4149
Epoch 168: start=-2.5480, end=2.3092, tau=6.4114
Epoch 169: start=-2.5482, end=2.3086, tau=6.4316
Epoch 170: start=-2.5489, end=2.3075, tau=6.4585
Epoch 171: start=-2.5487, end=2.3076, tau=6.4601
Epoch 172: start=-2.5488, end=2.3074, tau=6.4639
Epoch 173: start=-2.5492, end=2.3065, tau=6.4921
Epoch 174: start=-2.5497, end=2.3066, tau=6.4783
Epoch 175: start=-2.5504, end=2.3064, tau=6.4709
Epoch 176: start=-2.5514, end=2.3054, tau=6.4876
Epoch 177: start=-2.5517, end=2.3060, tau=6.4564
Epoch 178: start=-2.5513, end=2.3062, tau=6.4607
Epoch 179: start=-2.5510, end=2.3061, tau=6.4682
Epoch 180: start=-2.5506, end=2.3055, tau=6.5010
Epoch 181: start=-2.5504, end=2.3051, tau=6.5238
Epoch 182: start=-2.5500, end=2.3050, tau=6.5367
Epoch 183: start=-2.5508, end=2.3056, tau=6.4924
Epoch 184: start=-2.5514, end=2.3047, tau=6.5180
Epoch 185: start=-2.5522, end=2.3028, tau=6.5722
Epoch 186: start=-2.5530, end=2.3019, tau=6.5924
Epoch 187: start=-2.5530, end=2.3017, tau=6.6000
Epoch 188: start=-2.5523, end=2.3020, tau=6.6013
